base word;word formation;type;definition;Level
access;accessibility;suffix -ity;the quality of being easy to reach or enter;B2
access;accessible;suffix -ible;easy to reach or enter;B2
access;inaccessible;prefix in- + suffix -ible;not easy to reach or enter;B2
act;enact;prefix en-;to make a law official;B2
act;react;prefix re-;to respond to something;B2
act;counteract;prefix counter-;to take action against;B2
act;interact;prefix inter-;to communicate or work together;B2
act;transact;prefix trans-;to conduct business;B2
act;overreact;prefix over-;to respond more emotionally than necessary;B2
act;activate;prefix de-/re- + suffix -ate;to make something start working;B2
act;deactivate;prefix de- + suffix -ate;to make something stop working;B2
act;reactivate;prefix re- + suffix -ate;to make something start working again;B2
act;inactivity;prefix in- + suffix -ity;state of not being active;B2
act;radioactivity;suffix -ity;emission of radiation;B2
act;transaction;suffix -ion;a business deal;B2
act;activist;suffix -ist;person who campaigns for change;B2
act;activism;suffix -ism;campaigning for political or social change;B2
act;interaction;suffix -ion;communication between people;B2
act;reaction;suffix -ion;response to something;B2
act;reactor;suffix -or;device for nuclear reaction;B2
act;transactional;suffix -al;relating to a transaction;B2
act;radioactive;suffix -ive;emitting radiation;B2
act;inactive;prefix in- + suffix -ive;not active;B2
adapt;adaptation;suffix -ation;the process of changing to suit a situation;B2
adapt;adaptor;suffix -or;device that allows connection;B2
adapt;adaptable;suffix -able;able to change to suit new conditions;B2
add;additive;suffix -ive;substance added to improve something;B2
add;additionally;suffix -ly;in addition;B2
adequate;adequacy;suffix -acy;state of being enough;B2
adequate;inadequate;prefix in- + suffix -ate;not enough;B2
adequate;adequately;suffix -ly;in a sufficient way;B2
adequate;inadequately;prefix in- + suffix -ly;in an insufficient way;B2
adjust;readjust;prefix re-;to adjust again;B2
adjust;adjustment;suffix -ment;the process of adjusting;B2
adjust;adjustable;suffix -able;able to be adjusted;B2
admire;admiration;suffix -ation;feeling of respect and approval;B2
admire;admirable;suffix -able;deserving admiration;B2
admire;admirably;suffix -ably;in a way that deserves admiration;B2
admire;admiringly;suffix -ly;in a way that shows admiration;B2
aggression;aggressiveness;suffix -ness;tendency to be aggressive;B2
aggression;aggressor;suffix -or;person who attacks first;B2
aggression;aggressively;suffix -ly;in an aggressive way;B2
alter;alteration;suffix -ation;the process of changing;B2
alter;unaltered;prefix un- + past participle;not changed;B2
alter;alternate;suffix -ate;to take turns;B2
analyse;analysis;suffix -sis;detailed examination;B2
analyse;analyst;suffix -yst;person who analyses;B2
analyse;analytic;base form;relating to analysis;B2
analyse;analytical;suffix -ical;relating to analysis;B2
analyse;analytically;suffix -ally;in an analytical way;B2
antique;antiquity;suffix -ity;ancient times;B2
appear;reappear;prefix re-;to appear again;B2
appear;disappearance;suffix -ance;the act of disappearing;B2
appear;reappearance;suffix -ance;the act of appearing again;B2
appear;apparent;suffix -ent;clearly visible or understood;B2
appear;apparently;suffix -ly;according to what seems true;B2
apply;reapply;prefix re-;to apply again;B2
apply;applicant;suffix -ant;person who applies for something;B2
apply;applicability;suffix -ity;relevance or suitability;B2
apply;applicable;suffix -able;relevant or suitable;B2
appreciate;appreciation;suffix -ation;recognition of value;B2
appreciate;appreciable;suffix -able;large enough to be noticed;B2
appreciate;appreciably;suffix -ably;to a noticeable extent;B2
appreciate;appreciative;suffix -ative;showing gratitude;B2
appreciate;unappreciative;prefix un- + suffix -ative;not showing gratitude;B2
appreciate;appreciatively;suffix -ly;in a way that shows gratitude;B2
approve;disapprove;prefix dis-;to have an unfavourable opinion;B2
approve;disapproval;prefix dis- + suffix -al;unfavourable opinion;B2
approve;approved;suffix -ed;officially accepted;B2
approve;disapproved;prefix dis- + suffix -ed;not accepted;B2
approve;approvingly;suffix -ly;in a way that shows approval;B2
approve;disapprovingly;prefix dis- + suffix -ly;in a way that shows disapproval;B2
architect;architecture;suffix -ure;the art of designing buildings;B2
architect;architectural;suffix -al;relating to architecture;B2
architect;architecturally;suffix -ly;in an architectural way;B2
argue;argumentative;suffix -ative;tending to argue;B2
argue;argumentatively;suffix -ly;in an argumentative way;B2
argue;arguable;suffix -able;able to be argued;B2
argue;arguably;suffix -ably;it can be argued that;B2
arrange;rearrange;prefix re-;to arrange again;B2
arrange;rearrangement;prefix re- + suffix -ment;the act of arranging again;B2
art;artificiality;suffix -ity;lack of naturalness;B2
art;artwork;suffix -work;work of art;B2
art;artifact;suffix -fact;object made by humans;B2
art;artefact;alternative spelling;object made by humans;B2
art;artistic;suffix -istic;relating to art;B2
art;artistically;suffix -ally;in an artistic way;B2
art;artificial;suffix -ificial;not natural;B2
art;artificially;suffix -ially;in an artificial way;B2
assess;reassess;prefix re-;to assess again;B2
assess;assessment;suffix -ment;the process of evaluating;B2
assess;reassessment;prefix re- + suffix -ment;the act of assessing again;B2
assess;assessor;suffix -or;person who assesses;B2
assess;assessed;suffix -ed;evaluated or valued;B2
associate;dissociate;prefix dis-;to separate from;B2
associate;association;suffix -ation;group or connection;B2
associate;associated;suffix -ed;connected or linked;B2
assume;assumption;suffix -tion;something accepted as true;B2
assume;assuming;suffix -ing;taking for granted;B2
assume;assumed;suffix -ed;supposed or taken for granted;B2
attach;reattach;prefix re-;to attach again;B2
attach;attachment;suffix -ment;extra part or emotional bond;B2
attach;attached;suffix -ed;connected or fond of;B2
