base word;word formation;type;definition;Level
act;overact;prefix over-;to act in an exaggerated way;C1
act;overreaction;suffix -ion;excessive response;C1
act;overacting;suffix -ing;exaggerated acting;C1
act;reactionary;suffix -ary;opposing political or social change;C1
act;hyperactive;prefix hyper- + suffix -ive;extremely active;C1
act;overactive;prefix over- + suffix -ive;too active;C1
add;addendum;suffix -um;something added to a document;C1
add;addenda;plural form;plural of addendum;C1
alter;unalterable;prefix un- + suffix -able;that cannot be changed;C1
antique;antiquated;suffix -ated;old-fashioned;C1
appear;apparition;suffix -ition;ghost or supernatural appearance;C1
apply;misapply;prefix mis-;to use wrongly;C1
apply;inapplicability;prefix in- + suffix -ity;lack of relevance;C1
apply;inapplicable;prefix in- + suffix -able;not relevant;C1
apply;misapplied;prefix mis- + suffix -ed;used wrongly;C1
argue;unarguable;prefix un- + suffix -able;not able to be argued;C1
art;artfulness;suffix -ness;skill in achieving something;C1
art;artiste;suffix -iste;professional entertainer;C1
art;artistry;suffix -try;creative skill;C1
art;artlessness;suffix -ness;natural simplicity;C1
art;artifice;suffix -ifice;clever trick;C1
art;arty;suffix -y;pretending to be artistic;C1
art;artfully;suffix -fully;in a skillful or cunning way;C1
art;artlessly;suffix -lessly;in a natural simple way;C1
assume;unassuming;prefix un- + suffix -ing;modest;C1
awe;awesomeness;suffix -ness;amazing quality;C1
awe;awesome;suffix -some;extremely impressive;C1
brief;brevity;suffix -ity;shortness;C1
change;unchangeable;prefix un- + suffix -able;not able to change;C1
character;characterless;suffix -less;lacking distinctive qualities;C1
charity;charitableness;suffix -ness;generosity;C1
charity;uncharitable;prefix un- + suffix -able;not generous;C1
charity;uncharitably;prefix un- + suffix -ably;in a mean way;C1
class;outclass;prefix out-;to be much better than;C1
class;classifieds;plural form;advertisements section;C1
class;classlessness;suffix -lessness;absence of social classes;C1
class;classless;suffix -less;without social divisions;C1
conceive;conceptualise;suffix -alise;to form an idea;C1
conceive;inconceivably;prefix in- + suffix -ably;in an unimaginable way;C1
conserve;conservatism;suffix -ism;opposition to change;C1
consider;inconsiderable;prefix in- + suffix -able;small or unimportant;C1
content;discontentment;prefix dis- + suffix -ment;state of dissatisfaction;C1
crime;criminality;suffix -ity;the state of being criminal;C1
desire;desirous;suffix -ous;wanting something;C1
desire;undesirably;prefix un- + suffix -ably;in an undesirable way;C1
distant;equidistant;prefix equi- + suffix -ant;at equal distance;C1
distant;equidistantly;prefix equi- + suffix -ly;at equal distance;C1
do;outdid;past of outdo;past tense of outdo;C1
do;outdone;past participle;past participle of outdo;C1
do;doings;plural form;activities or events;C1
dominate;domineer;suffix -eer;to act in an overbearing way;C1
dominate;domineering;suffix -ing;arrogant and controlling;C1
doubt;undoubted;prefix un- + suffix -ed;certain;C1
edit;editorship;suffix -ship;position of editor;C1
edit;editorially;suffix -ly;in an editorial way;C1
effect;ineffectual;prefix in- + suffix -ual;not producing the desired result;C1
electric;electrifying;suffix -ing;very exciting;C1
employ;underemployment;prefix under- + suffix -ment;state of being overqualified for a job;C1
employ;underemployed;prefix under- + suffix -ed;having insufficient work;C1
employ;unemployable;prefix un- + suffix -able;not able to be employed;C1
good;goody/goodie;suffix -y/-ie;something desirable or a virtuous person;C1
govern;misgovern;prefix mis-;to govern badly;C1
govern;governess;suffix -ess;female teacher in a private house;C1
govern;ungovernable;prefix un- + suffix -able;impossible to control;C1
hand;underhand;prefix under-;secretive and dishonest;C1
hard;hardy;suffix -y;robust and able to endure difficult conditions;C1
hear;hearsay;compound;information heard from others;C1
high;Highness;suffix -ness;title used for royalty;C1
high;highbrow;compound;intellectually or culturally sophisticated;C1
house;householder;suffix -er;person who owns or rents a house;C1
house;houseful;suffix -ful;as many as a house can hold;C1
human;humanism;suffix -ism;a rationalist philosophy;C1
human;humanist;suffix -ist;advocate of humanism;C1
human;humanly;suffix -ly;by human means or within human capacity;C1
ideal;idealism;suffix -ism;the pursuit of noble goals;C1
ideal;idealisation;suffix -ation;the act of regarding as perfect;C1
ideal;idealist;suffix -ist;person guided by ideals;C1
ideal;idealistic;suffix -istic;characterized by idealism;C1
