idiom;meaning;level
couch potato;someone who spends a lot of time sitting at home watching television;B1
fifty-fifty;equal or into two equal parts;B1
for the time being;for now;B1
from time to time;sometimes but not often;B1
home sweet home;used for saying that you are happy to be back in your own home;B1
couch potato;someone who spends a lot of time sitting at home watching television;B1
fifty-fifty;equal or into two equal parts;B1
for the time being;for now;B1
from time to time;sometimes but not often;B1
home sweet home;used for saying that you are happy to be back in your own home;B1
make yourself at home;to feel relaxed and behave as you do in your own home;B1
the other day;recently;B1
