idiom;meaning;level
a leopard can't change its spots;used for saying that someone will never change their behaviour or character;C1
Achilles' heel;a weak feature of someone or something that could cause failure or be attacked;C1
an act of God;an event such as a flood or earthquake produced by natural forces that people have no control over;C1
be born with a silver spoon in your mouth;to have advantages because you come from a rich family;C1
break the mould;to change a situation by doing something very different from what most people usually do;C1
gain/get/have/take the upper hand;to gain control or advantage over a person or situation;C1
give sb a taste/dose of their own medicine;to treat someone in the same bad way they treat other people;C1
go to your head;if success goes to your head it makes you think you are better than you really are;C1
grin and bear it;to accept a difficult situation without complaining;C1
have your wits about you;to be able to think quickly and make sensible decisions;C1
in the sticks;in an area far from the town or city;C1
it's as broad as it's long;used for saying that you cannot choose between two things because they are equal;C1
a leopard can't change its spots;used for saying that someone will never change their behaviour or character;C1
Achilles' heel;a weak feature of someone or something that could cause failure or be attacked;C1
an act of God;an event such as a flood or earthquake produced by natural forces that people have no control over;C1
be born with a silver spoon in your mouth;to have advantages because you come from a rich family;C1
break the mould;to change a situation by doing something very different from what most people usually do;C1
gain/get/have/take the upper hand;to gain control or advantage over a person or situation;C1
give sb a taste/dose of their own medicine;to treat someone in the same bad way they treat other people;C1
go to your head;if success goes to your head it makes you think you are better than you really are;C1
grin and bear it;to accept a difficult situation without complaining;C1
have your wits about you;to be able to think quickly and make sensible decisions;C1
in the sticks;in an area far from the town or city;C1
it's as broad as it's long;used for saying that you cannot choose between two things because they are equal;C1
keep up with the Joneses;to try to be as rich and successful as your neighbours;C1
knee-high to a grasshopper;very small because you were very young;C1
last word in;the newest and best type of something;C1
lay/put your cards on the table;to tell people exactly what you are thinking or intending to do;C1
line your pocket(s);to obtain money especially by acting dishonestly;C1
live and let live;used for saying that you should accept other people's beliefs and way of life;C1
lock, stock and barrel;including every part of a particular thing;C1
not have a leg to stand on;not to have any way of proving that you are right about something;C1
not see the wood for the trees;to not understand what is important because you are thinking too much about small details;C1
pull (a few) strings;to use your influence in order to get something you want;C1
quick/slow on the uptake;taking a very short or long time to understand or realise something;C1
reinvent the wheel;to waste time and effort trying to do something that someone else has already done well;C1
speak volumes;to provide a lot of information especially in an indirect way;C1
split hairs;to argue or worry about very small details or differences that are not important;C1
stick to your guns;to refuse to change what you are saying or doing despite opposition or criticism;C1
take the law into your own hands;to punish someone in your own way without involving the police or courts;C1
throw the book at sb;to punish someone very severely;C1
under sb's thumb;completely controlled by someone else;C1
