phrasal verb;definition;Level;Lesson Number;Lesson Name
add up to;to combine to produce a particular result or effect;B2;;
answer back;to reply rudely to someone who has more authority than you;B2;;
back down;to stop asking for something or stop saying that you will do something because a lot of people oppose you;B2;;
back up;to give support to someone by telling other people that you agree with them;B2;;
black out;to make a place dark by turning off all the lights for example so that the enemy cannot see a place at night;B2;;
black out;to suddenly become unconscious;B2;;
blend in;if someone or something blends in they are similar to the other people objects buildings etc around them and so they seem appropriate or you do not notice them;B2;;
blurt out;to say something suddenly and without thinking about the effect it will have usually because you are nervous or excited;B2;;
board up;to cover a window or door with wooden boards;B2;;
break down;to divide something such as a total amount into separate parts;B2;;
bring about;to make something happen especially to cause changes in a situation;B2;;
bring together;to create a situation in which people meet and do something together especially when they would not usually do so;B2;;
bring out;to make someone or something show a quality that they have;B2;;
bring out;to produce a new product and start to sell it;B2;;
build up;to gradually develop;B2;;
build up;to increase or make something increase;B2;;
build up;to make someone bigger healthier and stronger especially by making them eat more;B2;;
buy up;to buy large amounts of something or all of it that is available;B2;;
cancel out;to stop something from having any effect;B2;;
carry over;to take something that you earn or are given in one year or period of time into the next one;B2;;
catch on;to become popular or fashionable;B2;;
catch on;to understand;B2;;
centre around;if something centres around someone or something or you centre something around them they are its main subject of attention or interest;B2;;
change around;to move things so that they are in different places or positions;B2;;
check out;if information checks out you feel that it is true after examining it;B2;;
clock up;reach a particular number or amount;B2;;
close up;lock the doors of a building or business;B2;;
club together;if people club together each of them gives some money so all the money collected can be used to buy something;B2;;
come (a)round (to);change your opinion or decision because someone has persuaded you to agree with them;B2;;
come between;cause a disagreement or argument between people;B2;;
come out;be spoken heard or understood in a particular way;B2;;
come out;become easy to notice;B2;;
come out;become known;B2;;
come out in;become covered in spots because you are ill or your body reacts to a food or medicine;B2;;
come out with;say something suddenly usually something that surprises or shocks people;B2;;
come round;become conscious again after being unconscious;B2;;
come round;change your opinion or decision because someone has persuaded you to agree with them;B2;;
come round;if a regular event comes round it happens again;B2;;
cordon off;stop people from entering an area by putting something such as a rope around it;B2;;
cotton on;begin to realise or understand something;B2;;
crack down (on);start dealing with someone or something much more strictly;B2;;
creep up on;move towards someone quietly and slowly especially because you want to surprise them;B2;;
crop up;appear or happen suddenly or unexpectedly;B2;;
cut back (on);reduce the amount of something especially money that you spend;B2;;
cut out;stop eating something or doing something especially because it is bad for your health;B2;;
die out;become weaker or less common and then disappear completely;B2;;
dig up;dig holes in an area of land;B2;;
dig up;find information by searching carefully;B2;;
dig up;remove something from under the ground by digging;B2;;
dive in;start doing something in a very enthusiastic way;B2;;
do away with;get rid of;B2;;
do up;repair paint and improve an old building car boat etc;B2;;
dry up;stop being available;B2;;
dry up;stop talking because you have forgotten what you were going to say;B2;;
fade away;disappear slowly;B2;;
fall behind;make less progress or be less successful than other people who are doing a similar job or activity;B2;;
fix up;clean repair or decorate something;B2;;
follow up;check the health of someone who has received medical treatment in order to be certain that it was effective;B2;;
follow up;try to find out more about something or do something more to deal with it;B2;;
get across;make people understand something;B2;;
get (a)round;if news gets (a)round a lot of people hear it;B2;;
get down;make someone feel sad or lose hope start feeling sad or losing hope;B2;;
get in;be elected for a political job;B2;;
get into;become involved in a bad situation;B2;;
get off;have a particular period of time as a holiday;B2;;
get off;not be punished severely or at all for something you have been accused of in court;B2;;
get off;send something for example in the post;B2;;
get over;find a way to solve or deal with a difficult problem;B2;;
get over;start to feel happy or well again after something bad has happened to you start to forget someone and feel happy again after a relationship has ended;B2;;
get through;finish dealing with some work a subject etc;B2;;
get through;manage to deal with a difficult situation or stay alive until it is over;B2;;
get through;use or finish something;B2;;
get through (to);make someone understand what you are trying to say;B2;;
give in;if you give in to something you can no longer control the feeling of wanting it;B2;;
give in;stop competing or arguing and accept that you cannot win;B2;;
go astray;become lost or go to the wrong place;B2;;
go down (well/badly) (with sb);produce a particular reaction;B2;;
go in for;choose something as a subject of study or as your career;B2;;
go in for;enjoy a particular thing or activity;B2;;
go off;explode or be fired;B2;;
go off;if food or drink goes off it is no longer fresh;B2;;
go off;stop liking someone or something;B2;;
go together;if two or more things go together they frequently exist together;B2;;
grow on;if something or someone grows on you you start to like them more;B2;;
hang out;lean out of a window so that the top part of your body is outside;B2;;
head off;prevent someone from going somewhere by getting in front of them;B2;;
head off;prevent something from taking place;B2;;
hit back;criticise someone who has criticised you;B2;;
hit back;deliberately hurt someone who has hurt you;B2;;
hit upon;discover something by chance;B2;;
hit upon;suddenly have an idea;B2;;
hold back;stop someone or something from moving forwards;B2;;
kick off (with);begin (with);B2;;
kill off;destroy living things so that most or all of them are dead;B2;;
knock off;stop working;B2;;
knuckle down;start working hard especially when you should have done this earlier;B2;;
lash out;speak angrily to or against someone;B2;;
lash out;try to hit or attack someone suddenly and violently;B2;;
lay off;end someone's employment especially temporarily because there is not enough work for them;B2;;
lay off;stop doing or using something especially for a short period of time;B2;;
let on;talk about something that is intended to be a secret;B2;;
lie ahead;if something lies ahead it is going to happen to you in the future;B2;;
liven up;give something a more interesting appearance taste or other quality;B2;;
liven up;make something more interesting or exciting or become more interesting or exciting;B2;;
lock up;put someone in a prison;B2;;
make into;change someone or something so that they become something else;B2;;
make out;see hear or understand someone or something with difficulty;B2;;
make out;suggest imply;B2;;
make over;change or improve the appearance of someone or something;B2;;
mess up;be the cause of someone's physical emotional or mental problems;B2;;
mount up;get much larger;B2;;
move on;stop discussing or doing something and begin discussing or doing something different;B2;;
mull over;think carefully about something over a period of time;B2;;
open up;make it easier to travel or do business in a country;B2;;
open up;talk more about your personal feelings and experiences;B2;;
opt out (of);decide not to take part in something or stop taking part in it;B2;;
pass away/on;die (used to avoid saying 'die' when you think this might upset someone);B2;;
patch up;become friends with someone again after a disagreement;B2;;
patch up;give basic medical treatment to someone who is injured;B2;;
patch up;repair something often quickly and not very well;B2;;
pay out;provide money from an amount invested over a period of time;B2;;
pay out;spend or pay money especially a lot of money;B2;;
phase out;gradually stop using something;B2;;
pick on;keep treating someone badly or unfairly especially by criticising them;B2;;
piece together;learn the truth about something by considering all the separate bits of information you have;B2;;
pile up;if something piles up or someone piles it up the amount of it increases a lot;B2;;
play up;cause difficulties or pain for someone;B2;;
play up;if children play up or play someone up they behave badly;B2;;
press ahead/on (with);continue doing something in a determined way despite difficulties opposition or interruptions;B2;;
prop up;stop something from falling by putting something under it or against it;B2;;
pull through;manage to stay alive after you have been very ill or very badly injured;B2;;
pull through;succeed in a very difficult situation or help someone do this;B2;;
