phrasal verb;definition;Level;Lesson Number;Lesson Name
build up;to talk about someone or something in a very positive way so that people are impressed with them;C1;;
buy off;to give someone money so that they do not act against you;C1;;
buy out;to pay money to your business partner so that you can control all of a business you previously owned together;C1;;
chance upon;to find or see someone or something when you did not expect to;C1;;
crease up;laugh a lot or make someone laugh a lot;C1;;
drum up;try to make people support you or buy something from you;C1;;
paper over;hide a problem or disagreement rather than finding a satisfactory solution to it;C1;;
prop up;help a government system organisation etc continue to exist especially by providing financial or military support;C1;;
set down;state officially how something should be done;C1;;
take in;trick someone into believing something that is not true;C1;;
talk round;discuss something in a general way and without dealing with the most important issues;C1;;
water down;make something such as a statement or newspaper article less offensive powerful or detailed;C1;;
write off;decide that someone or something will not succeed and stop giving them your attention and energy;C1;;
