word;meaning;Level
concentrate;To give all your attention to the thing you are doing.;A2
consider;To think about something carefully before making a decision or developing an opinion.;A2
suppose;To believe that something is probably true based on your experience your knowledge and any other information that you have.;A2
lecture;A talk to a group of people about a particular subject especially at a college or university.;A2
alternative;Something that you can choose instead of something else.;A2
last;To continue existing or happening for or until a particular time.;A2
switch;Something such as a button or key that controls the electrical supply to a light piece of equipment machine etc.;A2
click;To make a computer do something by pressing a button on the mouse.;A2
data;Information in a form that a computer can use.;A2
download;To move information to your computer from a computer system or the Internet.;A2
download;A downloaded computer file.;A2
file;A set of information on a computer.;A2
online;Connected to or available through a computer or a computer network especially the Internet.;A2
online;On the Internet.;A2
annual;Happening once a year.;A2
century;a period of 100 years usually counted from a year ending in -00.;A2
decade;a period of ten years especially one beginning with a year that ends in a 0.;A2
period;An amount of time during which something happens.;A2
approach;to move closer to someone or something.;A2
bounce;if a ball or other object bounces or if you bounce it it hits a surface then immediately moves away from it.;A2
crawl;to move along the ground on your hands and knees or with your body close to the ground.;A2
float;to rest or move slowly on the surface of a liquid and not sink.;A2
flow;if a liquid flows it moves smoothly and continuously in one direction.;A2
hop;to move forward by jumping on one foot.;A2
hop;a quick jump on one foot.;A2
jog;to run at a slow steady speed usually for exercise or pleasure.;A2
jog;a run for exercise or pleasure at a slow steady speed.;A2
point;to show something by holding out your finger or a long thin object.;A2
roll;to move forward while turning over and over.;A2
route;the roads or paths that you use when you go from one place to another.;A2
sink;to disappear below the surface of the water.;A2
skip;to move forwards by jumping first on one foot and then the other.;A2
slide;to move smoothly and quickly across a surface.;A2
slide;a structure that children play on by climbing up steps and sliding down a slope on the other side.;A2
slip;if you slip your feet slide accidentally and you lose your balance or fall over.;A2
step;to move by putting one foot down in front of the other.;A2
step;a short movement made by putting one foot in front of the other.;A2
step;one of a series of actions you do in order to achieve a particular aim.;A2
trip;to hit your foot on something and fall down.;A2
wave;to move your hand to say hello or goodbye or as a signal.;A2
wave;a movement of your hand used for saying hello or goodbye to someone or for giving a signal.;A2
airline;a company that owns aircraft and takes people or goods by plane from one place to another.;A2
pilot;someone who flies an aircraft.;A2
tip;a useful suggestion.;A2
cause;to make something happen usually something bad.;A2
cause;an event thing or person that makes something happen.;A2
pick;to choose someone or something from a group.;A2
pick;your choice.;A2
sign;a piece of evidence that something is happening or that something exists.;A2
crop;a plant grown for food usually on a farm.;A2
flood;if water floods a place it covers it.;A2
flood;a large amount of water that covers an area that was dry before.;A2
area;a place on the surface of something such as a part of your body.;A2
area;the amount of space that the surface of a place or shape covers.;A2
average;around a usual or ordinary level or standard.;A2
major;important serious large or great.;A2
sum;an amount of money.;A2
sum;a simple calculation.;A2
benefit;an advantage you get from a situation.;A2
block;to stop something from moving through or along something else.;A2
block;a solid piece of wood stone ice etc with straight sides.;A2
fabric;cloth especially when it is used for making things such as clothes or curtains.;A2
liquid;a substance that can flow has no fixed shape and is not a solid or gas.;A2
pile;to put a large number of things on top of each other.;A2
pile;a number of things put on top of each other.;A2
solid;a substance that is not a liquid or a gas.;A2
solid;a solid substance is firm and hard and is not a liquid or a gas.;A2
stuff;a variety of objects or things.;A2
tear;to pull something so that it separates into pieces or gets a hole in it or to become damaged in this way.;A2
tear;a hole in a piece of paper cloth etc where it has been torn.;A2
district;an area of a town or country.;A2
avoid;to try to prevent something from happening.;A2
avoid;to try not to go near someone or something.;A2
avoid;to choose not to do something in order to achieve a better result.;A2
behaviour;the way that someone or something behaves.;A2
prevent;to stop something from happening or stop someone from doing something.;A2
label;A piece of paper or material fastened to an object that gives information about it;A2
society;people in general living together in organised communities with laws and traditions controlling the way they behave towards one another;A2
subject;an idea problem situation etc that you discuss or write about;A2
partner;someone that you do a particular activity with;A2
partner;someone that you live with and have a sexual relationship with;A2
favour;something that you do for someone in order to help them;A2
welcome;if you are welcome or a welcome visitor at a place people are pleased that you are there;A2
