word;meaning;Level
assume;To believe that something is true even though no one has told you or even though you have no proof.;B1
estimate;An approximate calculation or judgment of the size amount or cost of something.;B1
estimate;To say what you think an amount or value will be either by guessing or by using available information to calculate it.;B1
faith;Strong belief in or trust of someone or something.;B1
reckon;To believe that something is true.;B1
reflect;To think about something carefully and seriously.;B1
academic;Relating to education especially education in colleges and universities.;B1
academic;Good at learning things by studying.;B1
academic;Someone who teaches or does research at a college or university.;B1
cram;To study hard in order to learn a lot in a short time especially for an examination.;B1
curriculum;The subjects that students study at a particular school or college.;B1
distance learning;A system in which students work at home with the help of television and radio broadcasts and send work to their teachers by post or e-mail.;B1
graduate;Someone who has a degree from a university.;B1
graduate;To complete your studies at a university or college usually by getting a degree.;B1
intelligent;Good at thinking clearly and quickly at understanding difficult ideas and subjects and at gaining and using knowledge.;B1
lecture;To give a lecture or a series of lectures.;B1
mock exam;An examination you take for practice before an important examination.;B1
self-study;Work that you do without the help of a teacher.;B1
seminar;A class at a college or university in which a small group of students discusses a subject with a teacher.;B1
special needs;The particular needs of people who are physically or mentally disabled.;B1
tuition;The work that a teacher does when they teach a particular subject especially to one person or a small group.;B1
tutorial;A lesson in which a small group of students discuss a subject with a tutor especially at a university or college.;B1
adapt;To change your ideas or behaviour so that you can deal with a new situation.;B1
adjust;To change something slightly in order to make it better more accurate or more effective.;B1
alternative;Different from something else and able to be used instead of it.;B1
influence;To affect the way someone thinks or behaves or affect the way something happens.;B1
influence;The effect that a person or thing has on someone's decisions opinions or behaviour or on the way something happens.;B1
maintain;To make something stay the same.;B1
mature;To start behaving like an adult and become more sensible as you get older.;B1
mature;Behaving in the sensible way that you would expect an adult to behave.;B1
potential;The possibility to develop or achieve something in the future.;B1
potential;Possible or likely in the future.;B1
progress;To continue to develop or move forward.;B1
progress;The process of developing or improving.;B1
remain;To continue to be in a particular situation or condition.;B1
spoil;To affect something in a way that makes it worse less attractive or less enjoyable.;B1
steady;To hold something firmly without shaking or moving it.;B1
steady;Firmly held in a particular position without moving or shaking.;B1
steady;Staying at the same level speed value etc.;B1
switch;To replace one object with another.;B1
switch;A change from one thing to another.;B1
broadband;Able to send different types of communication signals at the same time.;B1
broadband;A high-speed Internet connection.;B1
consumer electronics;Electrical equipment such as digital cameras etc which is available for the public to buy.;B1
games console;A small piece of electronic equipment that you connect to a screen used for playing video games.;B1
manual;A book containing instructions for doing something especially for operating a machine.;B1
offline;Working on a computer but not connected to the Internet.;B1
offline;Working on a computer but not connected to the Internet.;B1
programmer;Someone whose job is to create computer programs.;B1
technique;A method of doing something using a special skill that you have developed.;B1
upload;To send documents or programs from your computer to a larger system using the Internet.;B1
annual;Calculated or considered over a period of one year.;B1
lifetime;the period of time when someone is alive.;B1
lifetime;the length of time that something exists or works.;B1
permanent;Happening or existing for a long time or for all time in the future.;B1
postpone;To decide that something will not be done at the time when it was planned for but at a later time.;B1
punctual;Arriving or happening at the time agreed on.;B1
seasonal;Available only during a particular time of year.;B1
seasonal;Suitable or typical of the time of year it is now.;B1
spell;A period of time usually a short one.;B1
temporary;Existing done or used for only a limited period of time.;B1
colleague;Someone who works in the same organisation or department as you.;B1
effective;Someone or something that is effective works well and produces the result that was intended.;B1
efficient;Someone or something that is efficient works well and produces good results by using the available time money supplies etc in the most effective way.;B1
fire;To make someone leave their job sometimes as a punishment.;B1
leave;A period of time away from your job or the armed forces.;B1
marketing;The ways in which a company encourages people to buy its products by deciding on price type of customer and advertising policy.;B1
sack;To tell someone they can no longer work at their job.;B1
strike;A period of time during which people refuse to work as a protest about pay or conditions of work.;B1
strike;To refuse to work for a period of time as a protest about your pay or conditions of work.;B1
dash;to run or go somewhere very quickly because you are in a hurry.;B1
flow;the continuous movement of a liquid in one direction.;B1
grab;to take hold of something in a rough or rude way.;B1
immigrant;someone who comes to live in a country from another country.;B1
march;if soldiers march they walk in a group with each person matching the speed and movements of the others.;B1
march;a walk by a group of soldiers in which each person matches the speed and movements of the others.;B1
punch;to hit someone or something with your fist usually as hard as you can.;B1
wander;to travel from place to place especially on foot without a particular direction or purpose.;B1
carriage;one of the vehicles that are joined together to make a train.;B1
destination;the place where someone or something is going.;B1
hiker;someone who walks for long distances in the countryside for pleasure.;B1
