word;meaning;Level
baffle;If a problem or someone's behavior baffles you you cannot understand it or solve it.;C1
contemplate;To think very carefully about something for a long time.;C1
contemplate;To consider doing something in the future.;C1
cynical;Believing that people are only interested in themselves and are not sincere or expecting things not to succeed.;C1
deliberate;To think about or discuss something very carefully especially before making a decision.;C1
dubious;Not sure about the truth or quality of something or whether you should do something.;C1
dubious;Not completely good safe or honest.;C1
guesswork;The process of trying to find the answer to something by guessing or the answer found by using this method.;C1
hunch;A feeling that something is true or will happen although you do not know any definite facts about it.;C1
ideology;A system of ideas and principles on which a political or economic theory is based.;C1
ingenious;An ingenious plan piece of equipment etc uses new and clever ideas.;C1
intuition;An ability to know or understand something through your feelings rather than by considering facts or evidence.;C1
naïve;A naïve person lacks experience of life and tends to trust other people and believe things too easily.;C1
paradox;A person thing or situation that is strange because they have features or qualities that do not normally exist together.;C1
plausible;Likely to be true honest or suitable.;C1
ponder;To think carefully about something for a long time before reaching a decision.;C1
sceptical;Having doubts about something that other people think is true or right.;C1
speculate;To consider or discuss why something has happened.;C1
academic;Not relating to a real situation and therefore not relevant.;C1
conscientious;Working hard and being careful to do things well.;C1
plagiarise;To take someone else's work ideas or words and use them as if they were your own.;C1
amend;To make changes to a document law agreement etc especially in order to improve it.;C1
distort;To change something such as information so that it is no longer true or accurate.;C1
refine;To make some changes to something in order to improve it.;C1
status quo;The present situation or the way things usually are.;C1
sustain;To provide the conditions in which something can happen or exist.;C1
anachronism;Something that is no longer suitable for or relevant to modern times.;C1
elapse;if time elapses it passes.;C1
instantaneous;immediate.;C1
interim;intended to last or perform an activity only until someone or something permanent or final is available.;C1
interim;the time between one thing happening and another or while waiting for something permanent or final to become available.;C1
lapse;a short or temporary period when you fail or forget to do things in the right way.;C1
lapse;a period of time between two events.;C1
lapse;to stop gradually or for a short time.;C1
lapse;if an official document decision or right lapses it is no longer effective.;C1
obsolete;no longer used because of being replaced by something newer and more effective.;C1
provisional;Intended to be temporary and likely to be changed when other arrangements are made.;C1
provisional;If an arrangement is provisional the people involved have not yet said that they definitely want to do it.;C1
stint;A period of time spent doing something.;C1
timely;Happening at the most suitable time.;C1
vintage;Showing the best or most typical qualities of someone.;C1
headhunt;To try to persuade someone to leave their job and go to work for another company.;C1
clamber;to climb something with difficulty using your hands and feet.;C1
drift;a slow and gradual change from one situation or opinion to another.;C1
drift;the meaning that someone is trying to express.;C1
fumble;to try to hold move or find something using your hands in a way that is not skilful or graceful.;C1
roam;to move or travel with no particular purpose.;C1
skid;to slide across the ground in an uncontrolled way.;C1
skid;a sudden uncontrolled slide across the ground especially by a vehicle.;C1
velocity;the speed that something moves at in one direction.;C1
allege;to say that something is true or that someone has done something wrong or illegal even though this has not been proved.;C1
ambiguous;not clear or definite capable of being understood in more than one way.;C1
assert;to state firmly that something is true.;C1
blunt;saying what is true or what you think even if this offends or upsets people.;C1
denounce;to criticise someone or something severely in public.;C1
disclose;to give information to people especially information that was secret.;C1
flatter;to praise someone in order to get something you want especially in a way that is not sincere.;C1
gist;the main idea or most important point of something that someone has written or said.;C1
illegible;difficult or impossible to read.;C1
inkling;a slight idea or small piece of information that tells you that something might exist or be happening.;C1
jargon;special words and phrases that are only understood by people who do the same kind of work.;C1
mumble;the saying of something in a way that is not loud or clear enough so that your words are difficult to understand.;C1
mumble;to say something in a way that is not loud or clear enough so that your words are difficult to understand.;C1
placard;a large notice in a public place used for advertising something or carried in order to protest against or support something.;C1
quibble;to argue or complain about things that are not important.;C1
rant;a long loud and angry complaint about something.;C1
rant;to complain or talk loudly and angrily for a long time sometimes saying unreasonable things.;C1
rave;to talk in an angry and uncontrolled way.;C1
rave;to speak or write in a very enthusiastic way about something or someone.;C1
ghostwriter;someone who writes something for someone else whose name will appear on it as the writer.;C1
manifesto;a formal statement expressing the aims and plans of a group or organisation especially a political party.;C1
ascribe;to believe something is the cause of something else.;C1
fluctuate;to change frequently.;C1
foresee;to see or know something that will happen in the future.;C1
freak;something with very unusual features that make it very different from other things of its type.;C1
freak;extremely unusual and unexpected.;C1
haphazard;done in a way that does not seem to be carefully planned or organised.;C1
inadvertent;not deliberate.;C1
instrumental;involved in an important way in making something happen.;C1
jinxed;someone or something that is jinxed has a lot of bad luck.;C1
meander;to move slowly without a particular direction or purpose in mind.;C1
mishap;a minor mistake or accident.;C1
mutate;to become physically different from other plants or animals of the same type as a result of a genetic change.;C1
pot luck;a situation in which you do not know what to expect but you hope that it will be good.;C1
transpire;to happen.;C1
wobble;to rock slightly from side to side or to make something do this.;C1
abundant;existing or available in large quantities.;C1
ample;enough and often more than you need.;C1
equation;all the different aspects that you have to consider in a situation.;C1
equidistant;at the same distance from two places.;C1
finite;existing only in limited numbers or amounts or continuing only for a limited time or distance.;C1
imbalance;a situation in which the balance between two things is not equal or fair.;C1
