word;meaning;Level
assess;Evaluate or calculate the value of something;B2
assume;To believe that something is true even though no one has told you or even though you have no proof.;B1
baffle;If a problem or someone's behavior baffles you you cannot understand it or solve it.;C1
biased;Preferring one person thing or idea to another in a way that is unfair.;B2
concentrate;To give all your attention to the thing you are doing.;A2
consider;To think about something carefully before making a decision or developing an opinion.;A2
contemplate;To think very carefully about something for a long time.;C1
contemplate;To consider doing something in the future.;C1
cynical;Believing that people are only interested in themselves and are not sincere or expecting things not to succeed.;C1
deduce;To reach a conclusion based on the information available.;B2
deliberate;To think about or discuss something very carefully especially before making a decision.;C1
dilemma;A situation in which you have to make a difficult choice.;B2
discriminate;To treat someone unfairly because of their religion race or other personal characteristics.;B2
discriminate;To recognize the difference between things.;B2
dubious;Not sure about the truth or quality of something or whether you should do something.;C1
dubious;Not completely good safe or honest.;C1
estimate;An approximate calculation or judgment of the size amount or cost of something.;B1
estimate;To say what you think an amount or value will be either by guessing or by using available information to calculate it.;B1
faith;Strong belief in or trust of someone or something.;B1
gather;To believe that something is true although no one has directly told you about it.;B2
genius;Someone who is much more intelligent or skillful than other people.;B2
genius;A very high level of skill or ability.;B2
grasp;To understand something.;B2
guesswork;The process of trying to find the answer to something by guessing or the answer found by using this method.;C1
hunch;A feeling that something is true or will happen although you do not know any definite facts about it.;C1
ideology;A system of ideas and principles on which a political or economic theory is based.;C1
ingenious;An ingenious plan piece of equipment etc uses new and clever ideas.;C1
inspiration;A sudden feeling of enthusiasm or a new idea that helps you to do or create something.;B2
intuition;An ability to know or understand something through your feelings rather than by considering facts or evidence.;C1
justify;To show that there is a good reason for something especially something that other people think is wrong.;B2
naïve;A naïve person lacks experience of life and tends to trust other people and believe things too easily.;C1
notion;An idea or understanding of something.;B2
optimistic;Someone who is optimistic is hopeful about the future and tends to expect that good things will happen.;B2
optimistic;Based on beliefs that are too confident.;B2
paradox;A person thing or situation that is strange because they have features or qualities that do not normally exist together.;C1
pessimistic;Someone who is pessimistic is not hopeful about the future and tends to expect that bad things will happen.;B2
pessimistic;Thinking that the worst thing will happen in every situation.;B2
plausible;Likely to be true honest or suitable.;C1
ponder;To think carefully about something for a long time before reaching a decision.;C1
prejudiced;Someone who is prejudiced has an unreasonable opinion or feeling about someone or something especially hatred or fear of a particular group of people.;B2
presume;To think something is true because it is likely although you cannot be certain.;B2
query;A question that you ask because you want information or because you are not certain about something.;B2
query;To ask a question about something because you have doubts about it.;B2
query;To ask something.;B2
